test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
922.0,24.0,1.0628170770388798e-09,2.9359587763504967e-09,1.0654484073225419,2.3732431108690313e-28,6.555920195770805e-28,"[0.8763453801691764, 1.2545514344759072]",-0.03412178008078026,0.7168956166757687,0.8392597918868184,"[-0.21855493525224726, 0.15031137509068673]",0.130335599206818
923.0,24.0,3.0261197100319077e-09,7.42241773370593e-09,0.9487942249572414,1.7232259709501254e-25,4.226700934388338e-25,"[0.770579344432359, 1.1270091054821239]",0.0712449442770069,0.4742205298689798,0.6418794394544934,"[-0.12388066734466052, 0.2663705558986743]",23.727864358752186
924.0,24.0,1.123429931979976e-09,3.083804369969739e-09,0.9751697521095246,3.4174563397562975e-28,9.380884819534168e-28,"[0.801574312874933, 1.1487651913441161]",0.02027373947049771,0.8299265469390745,0.9088455485819475,"[-0.164719653253681, 0.2052671321946764]",23.922560019559512
925.0,24.0,6.067040218520775e-09,1.3880210978084593e-08,0.9593656739872576,9.875122969490101e-24,2.2592365521597122e-23,"[0.7721362388794304, 1.1465951090950848]",0.08877592795221911,0.3906555308902584,0.559999327537641,"[-0.11391711803982327, 0.2914689739442615]",23.660900933732023
926.0,24.0,1.8368039628277252e-09,4.7647314210835934e-09,0.9527489544550637,8.043047310263093e-27,2.0863935953989867e-26,"[0.778584618058603, 1.1269132908515245]",0.08420747850644972,0.38471248208691744,0.5538619091375143,"[-0.10566234770688909, 0.27407730471978853]",23.678351125209456
927.0,24.0,2.5882904293478922e-12,4.188172215773288e-11,0.94571718854316,3.035500967321104e-51,4.911813862979133e-50,"[0.8226258872055405, 1.0688084898807795]",-0.05394126736136862,0.43433967040612054,0.6021951188260877,"[-0.18917365184980062, 0.08129111712706338]",0.20604046409288002
928.0,24.0,5.600856976283601e-12,6.497513893600465e-11,1.0521358071470501,1.4448190922973604e-47,1.6761242370038985e-46,"[0.9097999596620768, 1.1944716546320233]",0.062348188078454214,0.38459794262428093,0.5537767352401454,"[-0.07819975100674831, 0.20289612716365674]",23.76184746418778
929.0,24.0,2.5935725847471354e-11,1.7119290988429937e-10,0.9740002546149681,5.521972610095429e-41,3.6448664093039136e-40,"[0.8316086880755071, 1.116391821154429]",-0.0337081188726609,0.6636392850227817,0.8008862758319122,"[-0.1856225651686208, 0.118206327423299]",0.1287555297819165
930.0,24.0,4.356902281038524e-10,1.3902049397059744e-09,0.9714316568398831,5.295152407279743e-31,1.6895827719463125e-30,"[0.8069917419471645, 1.1358715717326018]",0.22999444486552179,0.010089489759860541,0.020090580963481763,"[0.05478063356912774, 0.4052082561619158]",23.12148593318342
931.0,24.0,2.8220542084916447e-13,1.6218702347653132e-11,0.9841845040347255,2.3937443111620963e-63,1.3757151213575266e-61,"[0.8693729195753976, 1.0989960884940533]",0.06190976089237399,0.31673750350682184,0.47901499294377703,"[-0.059287553643349866, 0.18310707542809784]",23.763522132680194
932.0,24.0,1.5574692870960176e-10,6.187378883362539e-10,0.9660413727786891,2.3696190177952307e-34,9.406983000378048e-34,"[0.8111244298473086, 1.1209583157100695]",0.17102025373196916,0.04381988197798817,0.08322864573217126,"[0.004737919199331364, 0.33730258826460696]",23.346750749993447
933.0,24.0,4.2342164533515987e-11,2.3746870143086923e-10,0.9369064943577465,4.591414174959103e-39,2.5751060992479544e-38,"[0.7964598601620769, 1.0773531285534161]",-0.023629642989753563,0.766236407642104,0.8715965364111636,"[-0.17940841885668696, 0.13214913287717983]",0.09025858764758476
934.0,24.0,2.208501904301812e-08,4.680020988136919e-08,0.9230823782636707,9.606691388839399e-21,2.0357472746004237e-20,"[0.7293831006886919, 1.1167816558386494]",-0.11727707215053584,0.29135048192650304,0.4497537541316811,"[-0.33511895462274355, 0.10056481032167183]",0.4479654178584633
935.0,24.0,9.113089594196027e-12,8.771039297133382e-11,0.9525515427404061,2.2393846316412023e-45,2.161568177259848e-44,"[0.8204912159389992, 1.084611869541813]",-0.05943145639286662,0.4186884862017509,0.5873856428195159,"[-0.2034696706260584, 0.08460675784032515]",0.22701144144180352
936.0,24.0,4.0090993463094157e-10,1.3016556319186415e-09,0.9592178256494863,2.8715226845899264e-31,9.323125599317942e-31,"[0.7975762442943842, 1.1208594070045883]",0.1081488996759381,0.22571576940707738,0.3647047494055217,"[-0.06681882636085915, 0.2831166257127353]",23.586901632638998
937.0,24.0,2.327895465127946e-11,1.5977319595936487e-10,0.9018505447176108,2.0275480001965888e-41,1.3915909404231906e-40,"[0.770731626976886, 1.0329694624583357]",-0.010536178467477342,0.8912869003464373,0.9438598965862939,"[-0.16162730099174605, 0.14055494405679136]",0.04024523722553783
938.0,24.0,2.00752085857224e-10,7.552749656027992e-10,1.0699272532265969,1.706174058582378e-33,6.416600445966069e-33,"[0.8960531741433873, 1.2438013323098065]",0.21298522128902508,0.013128121343751244,0.025991133129580766,"[0.04467992456913508, 0.3812905180089151]",23.18645638143193
939.0,24.0,1.583595693848724e-12,3.231827946630049e-11,1.0570248243559972,1.0183849059139788e-53,2.0783365426815894e-52,"[0.922764082728986, 1.1912855659830084]",-0.12064185113010684,0.07292366820316114,0.13489394784158554,"[-0.25249520044257934, 0.011211498182365665]",0.4608179268267135
940.0,24.0,1.13006782755341e-08,2.478762508342641e-08,0.9589193443851411,2.9854497545509367e-22,6.548475004498654e-22,"[0.7651819439600949, 1.1526567448101874]",-0.003056212500148092,0.9772401268637793,0.9881093294881489,"[-0.21301930149443882, 0.20690687649414263]",0.011673871836907412
941.0,24.0,1.2357332730128907e-10,5.214064443092366e-10,1.082813732987177,3.7396176938987766e-35,1.5785638218230378e-34,"[0.911264687285638, 1.254362778688716]",-0.008130095284379912,0.9228986486632178,0.9602524697359461,"[-0.17277345422656082, 0.156513263657801]",0.03105467645561212
942.0,24.0,6.891172025672268e-09,1.5622697859152728e-08,1.0510860202568288,2.012387691459823e-23,4.562202882475228e-23,"[0.8445074604639751, 1.2576645800496826]",0.017246969711063542,0.8685462564663531,0.9328402457093501,"[-0.1869968444824733, 0.2214907839046004]",23.93412142841107
943.0,24.0,2.0911106413446195e-12,3.719955608323684e-11,1.1784458740366168,2.629214958365623e-52,4.695026711367184e-51,"[1.0266848914237166, 1.330206856649517]",-0.04891559942517354,0.47368582685351046,0.6414161501063107,"[-0.1827236915937381, 0.08489249274339103]",0.18684382662766663
944.0,24.0,5.7204914238204316e-12,6.582843985984386e-11,1.003246548782432,1.8119974821873407e-47,2.0851524536102885e-46,"[0.8673786081757754, 1.1391144893890885]",0.09216968853050034,0.1990039664854697,0.3280104936302451,"[-0.04847967896334826, 0.23281905602434894]",23.647937723211133
945.0,24.0,1.1631778308114754e-13,1.2094944509473317e-11,1.0082683795464882,6.534154919570202e-69,6.806411374552294e-67,"[0.8956318508719683, 1.120904908221008]",0.03202605429377581,0.5887019566340554,0.7421860270222584,"[-0.08406016951448463, 0.14811227810203625]",23.877669483633987
946.0,24.0,4.443071588525519e-12,5.724076636312769e-11,1.074559151878665,1.2107179894505817e-48,1.5602035946528114e-47,"[0.9308693935017326, 1.2182489102555973]",-0.048309278227716135,0.49557160929733524,0.66085025909766,"[-0.18724993428492498, 0.09063137782949271]",0.1845278502514248
947.0,24.0,1.3627211019607386e-11,1.1318281577746999e-10,0.9786472777572787,1.2279532677106247e-43,1.0198947406234424e-42,"[0.8401807087081048, 1.1171138468064525]",0.057790825248440036,0.44098721699566545,0.6085940063423481,"[-0.08920973972660562, 0.2047913902234857]",23.779255307912422
948.0,24.0,2.380321387541696e-08,5.030264977898766e-08,0.9449653769293139,1.3935600711272312e-20,2.944970564512323e-20,"[0.745832774846345, 1.1440979790122827]",-0.046590602251653124,0.6766470961348221,0.8113274533990673,"[-0.2655511036839696, 0.1723698991806634]",0.1779629915994956
949.0,24.0,2.967631069334557e-10,1.0243807626284282e-09,0.991525068057146,3.1810504731591016e-32,1.0980498699202973e-31,"[0.8270738308964869, 1.1559763052178051]",-0.0267604659476115,0.7608895029052704,0.8688219730501969,"[-0.1991144674333063, 0.1455935355380833]",0.10221745044011307
950.0,24.0,5.080295879413869e-13,1.881591066449581e-11,1.1442694351337448,6.743507684069709e-60,2.5004351228010636e-58,"[1.0068748982620546, 1.281663972005435]",0.01168984646643434,0.8543154059099676,0.924583772629835,"[-0.11309115675063311, 0.1364708496835018]",23.95534807562116
951.0,24.0,9.200541673702368e-13,2.5576764447667498e-11,1.0083279994799264,1.3643332838713635e-56,3.810986826456323e-55,"[0.8836559521508844, 1.1330000468089683]",0.065792983376876,0.3154238206502624,0.4777701009546538,"[-0.06265714068388054, 0.19424310743763254]",23.748689315395374
952.0,24.0,2.8072336354060606e-10,9.81837959260555e-10,0.947935311519267,2.108066709681814e-32,7.373440747400539e-32,"[0.7911717091838734, 1.1046989138546606]",0.049839069083717824,0.569702465439389,0.7260130819923397,"[-0.12198950102706838, 0.22166763919450402]",23.809628779109467
953.0,24.0,1.6057329919984585e-10,6.344612544116788e-10,0.9779641651205304,2.9789750598699853e-34,1.1774604979723262e-33,"[0.8208960216681782, 1.1350323085728826]",0.07330483473255356,0.3891507211876942,0.5585762078690778,"[-0.09353416909033666, 0.24014383855544377]",23.71999615679471
954.0,24.0,3.375092875683369e-12,4.919960460179839e-11,1.0411246493501616,6.028710736787775e-50,8.788208071119207e-49,"[0.9038014856711947, 1.1784478130291285]",0.13808467894018506,0.04800674046852864,0.09063005563248752,"[0.001211266213522466, 0.27495809166684765]",23.472555378753892
955.0,24.0,1.118077696065141e-08,2.4535389424295392e-08,0.8812189730765757,2.822425631178786e-22,6.193604632825951e-22,"[0.7032849860351859, 1.0591529601179657]",-0.05194547126777582,0.627472481779974,0.7727755990992597,"[-0.2617412537391247, 0.15785031120357304]",0.1984170845641091
